elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
0.266,2,5,1,0,1,0,0
0.516,93,5,1,78,1,0,0
0.768,192,5,1,171,1,0,0
1.019,286,5,1,262,1,0,0
1.271,379,5,1,355,1,0,0
1.523,472,5,1,448,1,0,0
9.676,525,5,1,500,1,1,7
9.928,620,15,4,80,4,1,7
10.18,714,15,4,174,4,1,7
10.43,820,15,4,280,4,1,7
10.681,928,15,4,388,4,1,7
10.933,1031,15,4,491,4,1,7
11.184,1135,15,4,594,4,1,7
11.434,1236,15,4,695,4,1,7
11.686,1344,15,4,803,4,1,7
11.936,1449,15,4,908,4,1,7
12.189,1554,15,4,1013,4,1,7
12.44,1655,15,4,1114,4,1,7
12.692,1758,15,4,1216,4,1,7
12.944,1857,15,4,1315,4,1,7
13.196,1953,15,4,1411,4,1,7
13.447,2051,15,4,1509,4,1,7
13.698,2144,15,4,1602,4,1,7
13.948,2237,15,4,1695,4,1,7
14.2,2324,15,4,1781,4,1,7
14.45,2413,15,4,1870,4,1,7
14.702,2502,15,4,1959,4,1,7
14.954,2591,15,4,2048,4,1,7
15.205,2684,15,4,2141,4,1,7
15.457,2779,15,4,2236,4,1,7
15.709,2870,15,4,2326,4,1,7
15.96,2962,15,4,2418,4,1,7
16.212,3061,15,4,2517,4,1,7
16.464,3159,15,4,2615,4,1,7
24.676,3242,15,4,2698,4,2,10
24.928,3343,15,4,2798,4,2,10
25.179,3445,15,4,2900,4,2,10
25.43,3542,15,4,2997,4,2,10
25.681,3649,15,4,3104,4,2,10
25.933,3756,15,4,3211,4,2,10
26.185,3859,15,4,3314,4,2,10
26.435,3959,15,4,3413,4,2,10
26.687,4056,15,4,3510,4,2,10
26.938,4157,15,4,3611,4,2,10
27.19,4251,15,4,3705,4,2,10
27.443,4346,15,4,3800,4,2,10
27.695,4443,15,4,3897,4,2,10
27.946,4533,15,4,3986,4,2,10
28.198,4622,15,4,4075,4,2,10
28.449,4712,15,4,4165,4,2,10
28.701,4805,15,4,4258,4,2,10
28.952,4897,15,4,4350,4,2,10
29.205,4984,15,4,4437,4,2,10
29.456,5080,15,4,4532,4,2,10
29.708,5173,15,4,4625,4,2,10
29.958,5266,15,4,4718,4,2,10
30.208,5358,15,4,4810,4,2,10
30.46,5452,15,4,4904,4,2,10
30.712,5545,15,4,4997,4,2,10
30.964,5645,15,4,5096,4,2,10
31.216,5740,15,4,5191,4,2,10
31.469,5838,15,4,5289,4,2,10
39.679,5914,15,4,5365,4,3,13
39.929,6010,15,4,5461,4,3,13
40.182,6113,15,4,5563,4,3,13
40.433,6215,15,4,5665,4,3,13
40.684,6315,15,4,5765,4,3,13
40.936,6416,15,4,5866,4,3,13
41.188,6523,15,4,5973,4,3,13
41.439,6632,15,4,6082,4,3,13
41.69,6742,15,4,6191,4,3,13
41.94,6849,15,4,6298,4,3,13
42.191,6956,15,4,6405,4,3,13
42.442,7060,15,4,6509,4,3,13
42.693,7167,15,4,6616,4,3,13
42.943,7265,15,4,6714,4,3,13
43.193,7358,15,4,6806,4,3,13
43.446,7457,15,4,6905,4,3,13
43.698,7564,15,4,7012,4,3,13
43.949,7660,15,4,7108,4,3,13
44.2,7758,15,4,7206,4,3,13
44.452,7857,15,4,7304,4,3,13
44.703,7958,15,4,7405,4,3,13
44.953,8054,15,4,7501,4,3,13
45.204,8149,15,4,7596,4,3,13
45.456,8249,15,4,7696,4,3,13
45.709,8346,15,4,7793,4,3,13
45.96,8447,15,4,7893,4,3,13
46.211,8551,15,4,7997,4,3,13
46.463,8652,15,4,8098,4,3,13
54.677,8730,15,4,8176,4,4,16
54.927,8830,15,4,8276,4,4,16
55.18,8935,15,4,8381,4,4,16
55.432,9035,15,4,8480,4,4,16
55.683,9135,15,4,8580,4,4,16
55.935,9233,15,4,8678,4,4,16
56.187,9328,15,4,8773,4,4,16
56.438,9424,15,4,8869,4,4,16
56.688,9522,15,4,8967,4,4,16
56.939,9622,15,4,9066,4,4,16
57.191,9720,15,4,9164,4,4,16
57.441,9815,15,4,9259,4,4,16
57.692,9912,15,4,9356,4,4,16
57.942,10001,15,4,9445,4,4,16
58.195,10093,15,4,9536,4,4,16
58.446,10186,15,4,9629,4,4,16
58.697,10287,15,4,9730,4,4,16
58.948,10387,15,4,9830,4,4,16
59.199,10486,15,4,9929,4,4,16
59.45,10583,15,4,10026,4,4,16
59.7,10680,15,4,10122,4,4,16
59.95,10772,15,4,10214,4,4,16
